movieId,title,genres,year,cast,director,producer,screenwriter,composer,editor,distributor,country
2,Jumanji,Adventure|Children|Fantasy,1995,Morgan Turner,Jake Kasdan,Ted Field,Chris McKenna,Henry Jackman,Mark Helfrich,InterCom,United States of America
3,Grumpier Old Men,Comedy|Romance,1995,Max Wright,Howard Deutch,John Davis,Mark Steven Johnson,Alan Silvestri,Maryann Brandon,InterCom,United States of America
4,Waiting to Exhale,Comedy|Drama|Romance,1995,Leon Robinson,Forest Whitaker,Ronald Bass,Ronald Bass,Babyface,Richard Chew,Netflix,United States of America
6,Heat,Action|Crime|Thriller,1995,Richard Madden,Philippe,Kent Chan,Chris Sivertson,Masaru Sato,Kent Chan,Amazon Prime Video,United States of America
7,Sabrina,Comedy|Romance,1995,Sara Wijayanto,Rocky Soraya,Billy Wilder,Ernest Lehman,Friedrich Hollaender,Arthur P. Schmidt,Netflix,Indonesia
9,Sudden Death,Action,1995,Michael Eklund,Dallas Jackson,Howard Baldwin,Joseph Moncure March,Johnny Pate,Steven Kemper,Paramount Pictures,United States of America
10,GoldenEye,Action|Adventure|Thriller,1995,Famke Janssen,Martin Campbell,Michael G. Wilson,Michael France,Serra,Terry Rawlings,Metro-Goldwyn-Mayer,United Kingdom
12,Dead and Loving It,Comedy|Horror,1995,Vince Grant,Mel Brooks,Mel Brooks,Mel Brooks,Hummie Mann,Adam Weiss,Netflix,France
15,Cutthroat Island,Action|Adventure|Romance,1995,Jimmie F. Skaggs,Renny Harlin,Renny Harlin,Raynold Gideon,John Debney,Ralph E. Winters,Netflix,Germany
17,Sense and Sensibility,Drama|Romance,1995,James Fleet,Ang Lee,Lindsay Doran,Emma Thompson,Patrick Doyle,Tim Squyres,Netflix,United Kingdom
19,Ace When Nature Calls,Comedy,1995,Maynard Eziashi,Steve Oedekerk,Gary Barber,Steve Oedekerk,Robert Folk,Malcolm Campbell,InterCom,United States of America
20,Money Train,Action|Comedy|Crime|Drama|Thriller,1995,John Cenatiempo,Joseph Ruben,Jon Peters,Doug Richardson,Mark Mancina,George Bowers,InterCom,United States of America
21,Get Shorty,Comedy|Crime|Thriller,1995,David Paymer,Barry Sonnenfeld,Barry Sonnenfeld,Scott Frank,John Lurie,Jim Miller,Netflix,United States of America
22,Copycat,Crime|Drama|Horror|Mystery|Thriller,1995,John Rothman,Bo Gustavo Catilina,Arnon Milchan,Ann Biderman,Christopher Young,Jim Clark,Netflix,Belgium
