,BERT,RoBERTa Large,DeBERTa Large,BART Large,XLNet Large,ELECTRA Large,ALBERT Large v2
,Count,Count,Count,Count,Count,Count,Count
sci-fi,0.03581265500090056,,0.045210385579893875,0.002448841043545728,0.09025866965930976,0.04604929548194023,0.07614925807390166
film-noir,0.03070022306274852,,,,,0.0370994222536265,0.06910615570056944
imax,0.03313313105282846,,,,0.07144381174058217,0.0387058896878507,0.07321896171910719
drama,0.0897931474015268,0.1,0.1,0.1,0.015123238704850576,0.0011631129030023415,0.027748798093575517
comedy,0.09206395389112876,0.1,0.1,0.1,0.1,0.08108885101902268,0.030599082810313535
animation,0.04037851393103066,,,,,0.0010730565138479017,0.062467267966249636
horror,0.0754544383945024,,0.06958449367527052,0.016748756529088214,0.09859269573409812,0.07441324798758607,0.08075113955969353
thriller,0.07961920002216773,,0.07884921789489727,0.02353935464206049,0.09973502639344943,0.032686659185058954,0.0834462501905039
romance,0.0802007564736689,0.1,0.1,0.1,0.1,0.06807223907893097,0.09745071144547432
war,0.0329654876207102,0.1,0.031856062180473,0.09730731396428224,0.00891177244828685,0.07928356678720368,0.015550313811879131
adventure,0.037912007980381565,0.1,0.1,0.1,0.021931155354198706,0.09649680646189229,0.014179032101639026
crime,0.017586973689679538,0.1,0.03179960375188772,0.08221455588345318,0.003774401817753578,0.08017408592765009,0.08939655291851975
documentary,0.07071089128115604,,0.003247571941200105,0.00021093977305789932,0.0832921152167588,0.025044681823849703,0.02386182578937889
action,0.03233786386244926,0.1,0.09427276002050515,0.09757436579519792,0.0017159205841195948,0.06564314116685371,0.016139836790113195
mystery,0.04716391648309018,,0.06404706485445502,0.011900259085304182,0.09498628371919032,0.049803954168225334,0.07845781897280298
fantasy,0.07121312883605581,0.1,0.1,0.1,0.1,0.08709041661471106,0.1
western,0.045522811976114276,0.1,0.04788817767432839,0.08437452374024966,0.021248805020990066,0.04540850963603364,0.019614627928564502
musical,0.05868663147540075,,,,0.052107665876941406,0.023022569516605012,0.030088878728680882
children,0.028744267564459594,0.1,0.03324466242708896,0.08368108954376048,0.03687843772947061,0.06768049378610914,0.011773487399032933
