title,bert-base-uncased,roberta-large,microsoft/deberta-large,facebook/bart-large,xlnet-large-cased,google/electra-large-discriminator,albert-large-v2,Average
Jumanji,0.0,0.0,0.03571428571428571,0.42857142857142855,0.35714285714285715,0.14285714285714285,0.10714285714285714,0.15306122448979592
Grumpier Old Men,0.75,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.12755102040816327
Waiting to Exhale,0.39285714285714285,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.07653061224489796
Heat,0.03571428571428571,0.5714285714285714,0.8928571428571429,0.8928571428571429,0.0,0.5357142857142857,0.0,0.4183673469387755
Sabrina,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.32142857142857145,0.08673469387755103
Sudden Death,0.0,0.6785714285714286,0.8928571428571429,0.25,0.0,0.0,0.0,0.2602040816326531
GoldenEye,0.07142857142857142,1.0,0.8214285714285714,0.6785714285714286,0.14285714285714285,0.0,0.03571428571428571,0.3928571428571428
Dead and Loving It,0.8214285714285714,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.1377551020408163
Cutthroat Island,0.03571428571428571,0.4642857142857143,0.6785714285714286,0.17857142857142858,0.14285714285714285,0.17857142857142858,0.0,0.23979591836734696
Sense and Sensibility,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.00510204081632653
Ace When Nature Calls,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.08163265306122448
Money Train,0.6785714285714286,0.8571428571428571,0.8928571428571429,0.9285714285714286,0.0,0.6785714285714286,0.14285714285714285,0.5969387755102041
Get Shorty,0.8214285714285714,0.0,0.03571428571428571,0.75,0.0,0.42857142857142855,0.14285714285714285,0.3112244897959183
Copycat,0.32142857142857145,0.25,0.0,0.7142857142857143,0.10714285714285714,0.5,0.03571428571428571,0.2755102040816327
Assassins,0.17857142857142858,0.8928571428571429,0.8928571428571429,1.0,0.03571428571428571,0.5714285714285714,0.0,0.5102040816326531
Othello,0.21428571428571427,0.0,0.0,0.0,0.21428571428571427,0.0,0.03571428571428571,0.06632653061224489
Now and Then,0.17857142857142858,0.0,0.07142857142857142,0.03571428571428571,0.32142857142857145,0.0,0.14285714285714285,0.10714285714285714
Dangerous Minds,0.03571428571428571,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.01020408163265306
Babe,0.03571428571428571,0.0,0.0,0.03571428571428571,0.32142857142857145,0.0,0.03571428571428571,0.06122448979591837
Carrington,0.17857142857142858,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.030612244897959186
Dead Man Walking,0.0,0.03571428571428571,0.0,0.21428571428571427,0.03571428571428571,0.35714285714285715,0.0,0.09183673469387754
It Takes Two,0.4642857142857143,0.0,0.07142857142857142,0.0,0.42857142857142855,0.0,0.10714285714285714,0.15306122448979592
the Beloved Country,0.25,0.0,0.0,0.0,0.10714285714285714,0.0,0.0,0.05102040816326531
Richard III,0.42857142857142855,0.35714285714285715,0.0,0.7142857142857143,0.07142857142857142,0.32142857142857145,0.0,0.2704081632653061
Dead Presidents,0.10714285714285714,0.8928571428571429,0.7857142857142857,0.8928571428571429,0.10714285714285714,0.42857142857142855,0.0,0.4591836734693877
Mortal Kombat,0.0,0.9642857142857143,0.75,0.7857142857142857,0.14285714285714285,0.2857142857142857,0.03571428571428571,0.423469387755102
How to Make an American Quilt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guardian Angel,0.6785714285714286,0.75,0.8571428571428571,0.17857142857142858,0.03571428571428571,0.0,0.07142857142857142,0.36734693877551017
Mighty Aphrodite,0.7142857142857143,0.0,0.0,0.0,0.0,0.03571428571428571,0.14285714285714285,0.12755102040816327
Lamerica,0.0,0.0,0.0,0.0,0.10714285714285714,0.17857142857142858,0.42857142857142855,0.1020408163265306
Georgia,0.4642857142857143,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.07142857142857142
Home for the Holidays,0.10714285714285714,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.02040816326530612
Eye for an Eye,0.2857142857142857,0.0,0.0,0.0,0.03571428571428571,0.0,0.10714285714285714,0.061224489795918366
Friday,0.39285714285714285,0.0,0.0,0.0,0.0,0.0,0.6071428571428571,0.14285714285714285
From Dusk Till Dawn,0.32142857142857145,0.25,0.8571428571428571,0.2857142857142857,0.0,0.0,0.14285714285714285,0.26530612244897955
Fair Game,0.0,0.6428571428571429,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,0.2346938775510204
Screamers,0.10714285714285714,0.8571428571428571,0.9285714285714286,0.17857142857142858,0.0,0.0,0.0,0.2959183673469387
Things to Do in Denver When You're Dead,0.07142857142857142,0.10714285714285714,0.0,0.2857142857142857,0.07142857142857142,0.32142857142857145,0.0,0.12244897959183675
Black Sheep,0.39285714285714285,0.0,0.0,0.0,0.0,0.03571428571428571,0.10714285714285714,0.07653061224489796
Nick of Time,0.07142857142857142,0.5714285714285714,0.8214285714285714,0.21428571428571427,0.0,0.0,0.0,0.2397959183673469
Mary Reilly,0.5357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.07653061224489796
Vampire in Brooklyn,0.6785714285714286,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.1173469387755102
Beautiful Girls,0.4642857142857143,0.0,0.0,0.0,0.07142857142857142,0.03571428571428571,0.14285714285714285,0.1020408163265306
Broken Arrow,0.21428571428571427,0.5714285714285714,0.8571428571428571,0.17857142857142858,0.21428571428571427,0.17857142857142858,0.03571428571428571,0.32142857142857134
Shopping,0.0,0.6785714285714286,0.8214285714285714,0.14285714285714285,0.0,0.0,0.0,0.2346938775510204
City Hall,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.030612244897959183
Happy Gilmore,0.8214285714285714,0.0,0.0,0.0,0.0,0.0,0.17857142857142858,0.14285714285714285
Braveheart,0.5,0.8214285714285714,0.8214285714285714,0.6071428571428571,0.10714285714285714,0.32142857142857145,0.03571428571428571,0.45918367346938777
Taxi Driver,0.35714285714285715,0.25,0.03571428571428571,0.75,0.03571428571428571,0.5714285714285714,0.03571428571428571,0.29081632653061223
Race the Sun,0.6428571428571429,0.0,0.0,0.0,0.21428571428571427,0.10714285714285714,0.14285714285714285,0.15816326530612246
